0.50000 	 0.56153 	 0.03178 	 1.52314 	 0.22958 
1.00000 	 0.54231 	 0.03626 	 1.51684 	 0.24120 
1.50000 	 0.53755 	 0.03781 	 1.51333 	 0.24552 
2.00000 	 0.53579 	 0.03849 	 1.51143 	 0.24755 
2.50000 	 0.53498 	 0.03885 	 1.51034 	 0.24865 
3.00000 	 0.53455 	 0.03907 	 1.50968 	 0.24930 
3.50000 	 0.53429 	 0.03920 	 1.50925 	 0.24972 
4.00000 	 0.53412 	 0.03929 	 1.50897 	 0.25001 
4.50000 	 0.53401 	 0.03936 	 1.50878 	 0.25021 
5.00000 	 0.53393 	 0.03941 	 1.50864 	 0.25036 
5.50000 	 0.53387 	 0.03944 	 1.50854 	 0.25047 
6.00000 	 0.53382 	 0.03947 	 1.50846 	 0.25056 
